Player,Nation,Pos,Squad,Comp,Age,GA,GA90,SoTA,Saves,Stp,Stp%,CS,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),Thr,Launch%,AvgLen,Recov,Opp,AvgDist,#OPA
Adrián,es ESP,GK,Betis,es La Liga,37.0,27.0,1.42,76.0,49.0,14.0,5.4,3.0,1.0,0.0,0.0,26.0,0.33,-1.0,-0.05,507.0,91.0,28.0,31.2,20,257.0,11.7,16.0
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23.0,9.0,0.67,34.0,24.0,20.0,14.0,5.0,1.0,1.0,0.0,10.5,0.27,1.5,0.11,341.0,51.0,37.5,33.9,21,143.0,14.2,17.0
Alisson,br BRA,GK,Liverpool,eng Premier League,31.0,29.0,1.04,100.0,73.0,11.0,4.3,9.0,1.0,0.0,0.0,30.5,0.3,3.5,0.13,877.0,128.0,19.7,26.6,47,255.0,16.0,49.0
Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31.0,41.0,1.63,115.0,77.0,15.0,3.8,5.0,0.0,0.0,0.0,35.4,0.31,-2.6,-0.1,788.0,119.0,34.4,32.1,29,394.0,15.0,30.0
Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29.0,39.0,1.26,134.0,95.0,22.0,6.0,8.0,4.0,0.0,0.0,41.0,0.28,2.0,0.07,831.0,122.0,33.2,32.9,56,367.0,16.0,54.0
Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22.0,37.0,1.44,120.0,81.0,34.0,9.0,10.0,0.0,2.0,0.0,37.0,0.3,0.0,0.0,1012.0,110.0,32.4,33.1,53,377.0,12.7,28.0
Emil Audero,id IDN,GK,Como,it Serie A,27.0,18.0,2.25,34.0,16.0,5.0,5.3,0.0,4.0,0.0,0.0,12.4,0.27,-5.6,-0.7,232.0,30.0,22.0,28.6,12,95.0,12.9,8.0
Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25.0,2.0,2.0,4.0,2.0,5.0,33.3,0.0,0.0,0.0,0.0,2.2,0.55,0.2,0.2,26.0,5.0,38.5,32.3,1,15.0,12.4,2.0
Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28.0,39.0,1.22,133.0,93.0,35.0,7.7,8.0,6.0,2.0,0.0,40.0,0.25,2.0,0.06,989.0,129.0,42.3,38.2,49,453.0,14.4,38.0
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34.0,53.0,1.89,138.0,84.0,18.0,4.4,4.0,2.0,3.0,0.0,52.1,0.36,1.1,0.04,923.0,121.0,41.6,36.5,53,407.0,14.5,31.0
Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,26.0,10.0,2.5,17.0,8.0,4.0,7.1,1.0,0.0,0.0,0.0,10.1,0.59,1.1,0.27,128.0,12.0,34.4,34.1,3,56.0,12.0,7.0
