Player,Nation,Pos,Squad,Comp,Age,Gls,Ast,G-PK,PK,PKatt,xG,npxG,xAG,G-xG,np:G-xG,Sh,SoT,Sh/90,SoT/90,FK,Cmp,Att,Cmp%,TotDist,PrgDist,xA,A-xAG,KP,1/3,PPA,CrsPA,Live,TB,Sw,Crs,In,Out,Str,PrgC,PrgP,PrgR,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Lost,Int,Blocks_stats_defense,Clr,Err,Touches,Def Pen,Att Pen,Succ,Tkld,Carries,CPA,Mis,Dis,Rec,Won,Fls,PKwon,PKcon,Recov
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,50,63,79.4,887,361,0.0,0.0,0,8,0,0,51,0,0,2,0,0,0,1,8,3,2.09,2,0,0,0,0,0,0.0,2,2,1,1,0,0,1,3,0,0,73,2,0,0,1,41,0,1,0,40,0,0,0,0,7
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,47,66,71.2,705,190,0.0,0.0,1,2,0,0,54,0,0,5,0,0,0,0,6,10,0.75,1,0,0,0,0,0,0.0,4,4,2,2,0,1,0,1,3,0,85,1,0,1,2,46,0,3,1,49,2,0,0,0,7
Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,0,0,0,0,0,0.1,0.1,0.0,-0.1,-0.1,1,0,1.38,0.0,0,17,29,58.6,268,110,0.0,0.0,0,0,0,0,21,0,0,1,0,0,0,3,2,3,0.0,0,0,0,0,0,0,0.0,3,2,2,1,0,0,1,1,0,0,36,1,1,1,0,13,1,0,2,16,0,2,0,0,2
James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20.0,0,0,0,0,0,0.1,0.1,0.0,-0.1,-0.1,1,0,1.02,0.0,0,36,46,78.3,614,206,0.0,0.0,0,2,0,0,45,0,0,0,0,0,0,3,4,1,1.02,1,0,0,0,0,0,0.0,4,2,4,0,0,1,1,2,3,0,65,8,2,0,0,29,1,1,3,34,2,4,0,0,7
Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,100.0,41,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,3,0,0,0,0,0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,0,0,0,0,0,0.2,0.2,0.1,-0.2,-0.2,2,1,0.17,0.09,0,438,505,86.7,7952,2404,0.3,-0.1,2,28,0,0,461,0,0,0,0,0,0,4,22,3,0.55,5,1,0,0,0,0,0.0,17,11,15,2,0,6,14,26,57,1,641,127,7,3,4,322,0,8,3,393,19,16,0,0,42
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,6,1,3,3,4,6.4,3.2,3.2,-0.4,-0.2,35,8,1.11,0.25,0,1373,1672,82.1,21646,6031,3.7,-2.2,39,171,38,3,1555,23,13,44,5,2,0,107,207,111,2.98,80,2,5,1,3,3,0.16,48,32,13,20,15,33,26,24,28,2,1993,38,49,57,61,1183,17,55,51,1446,13,48,0,0,193
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,471,521,90.4,8299,2620,0.2,0.0,0,41,1,0,493,0,7,2,0,0,0,6,52,5,0.84,8,0,0,0,0,0,0.0,21,14,12,6,3,9,15,11,56,1,635,70,3,1,2,342,0,4,3,386,31,9,0,0,50
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,5,2,5,0,0,4.3,4.3,1.9,0.7,0.7,29,11,1.87,0.71,1,502,678,74.0,7914,2701,1.7,0.1,20,19,21,7,551,0,2,51,0,0,0,35,42,101,2.91,33,3,4,4,0,1,0.19,43,25,18,14,11,15,20,20,37,0,886,51,50,12,16,391,9,32,14,481,22,27,0,0,72
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,0,1,0,0,0,0.0,0.0,0.2,0.0,0.0,1,0,0.44,0.0,0,118,136,86.8,1766,368,0.2,0.8,2,4,4,2,103,0,0,7,0,0,0,6,9,26,2.65,5,0,0,0,1,0,0.44,3,2,2,0,1,0,2,2,0,0,157,0,7,3,2,90,2,5,1,108,0,2,0,1,3
